Id,Label,Source,Target,Weight,Season
RICKARD_KARSTARK,Rickard Karstark,,,,
RICKARD_STARK,Rickard Stark,,,,
RICKON,Rickon,,,,
ROBB,Robb,,,,
ROBERT,Robert,,,,
ROBIN,Robin,,,,
RODRIK,Rodrik,,,,
ROOSE_BOLTON,Roose,,,,
ROS,Ros,,,,
ROYCE,Royce,,,,
RYGER_RIVERS,Ryger,,,,
SAM,Sam,,,,
SANSA,Sansa,,,,
SEPTA_MORDANE,Septa Mordane,,,,
SHAE,Shae,,,,
SHAGGA,Shagga,,,,
STABLE_BOY,Stable Boy,,,,
STANNIS,Stannis,,,,
STEFFON,Steffon,,,,
STEVRON_FREY,Stevron,,,,
SYRIO_FOREL,Syrio,,,,
THEON,Theon,,,,
TOBHO_MOTT,Tobho Mott,,,,
TOMARD,Tomard,,,,
TOMMEN,Tommen,,,,
TYRION,Tyrion,,,,
TYSHA,Tysha,,,,
TYWIN,Tywin,,,,
VARDIS_EGEN,Vardis,,,,
VARLY,Varly,,,,
VARYS,Varys,,,,
VISERYS,Viserys,,,,
WALDER,Walder,,,,
WAYMAR_ROYCE,Waymar,,,,
WILL,Will,,,,
WINE_MERCHANT,Wine Merchant,,,,
YOREN,Yoren,,,,
AEGON,Aegon,,,,
AERYS,Aerys,,,,
ALTON,Alton,,,,
AMORY,Amory,,,,
ARYA,Arya,,,,
BALON,Balon,,,,
BARRA,Barra,,,,
BENJEN,Benjen,,,,
BILLY,Billy,,,,
BITER,Biter,,,,
BLACK_LORREN,Black Lorren,,,,
BOROS,Boros,,,,
BRAN,Bran,,,,
BRIENNE,Brienne,,,,
BRONN,Bronn,,,,
CAPTAINS_DAUGHTER,Captain's Daughter,,,,
CATELYN,Catelyn,,,,
CERSEI,Cersei,,,,
COLEN,Colen,,,,
CRASTER,Craster,,,,
CRESSEN,Cressen,,,,
DAENERYS,Daenerys,,,,
DAGMER,Dagmer,,,,
DAISY,Daisy,,,,
DAVOS,Davos,,,,
DONTOS,Dontos,,,,
DOREAH,Doreah,,,,
DROGO,Drogo,,,,
DROWNED_PRIEST,Drowned Priest,,,,
EDDISON_TOLLETT,Eddison,,,,
FARLEN,Farlen,,,,
FATHER_SEAWORTH,Father Seaworth,,,,
FREY_DAUGHTER,Frey Daughter,,,,
GENDRY,Gendry,,,,
GERARD,Gerard,,,,
GILLY,Gilly,,,,
GRENN,Grenn,,,,
HARREN,Harren,,,,
HAYLENE,Haylene,,,,
HIGH_SEPTON,High Septon,,,,
HODOR,Hodor,,,,
HOT_PIE,Hot Pie,,,,
HOUND,Sandor,,,,
ILYN_PAYNE,Ilyn,,,,
IRRI,Irri,,,,
JACKS,Jacks,,,,
JAIME,Jaime,,,,
JANOS,Janos,,,,
JAQEN,Jaqen,,,,
JEOR,Jeor,,,,
JOANNA,Joanna,,,,
JOFFREY,Joffrey,,,,
JON,Jon,,,,
JON_ARRYN,Jon Arryn,,,,
JORAH,Jorah,,,,
KEVAN,Kevan,,,,
KOVARRO,Kovarro,,,,
LANCEL,Lancel,,,,
LITTLEFINGER,Petyr,,,,
LOMMY,Lommy,,,,
LORAS,Loras,,,,
LYSA,Lysa,,,,
MAESTER_LUWIN,Luwin,,,,
MALAKKO,Malakko,,,,
MANCE,Mance,,,,
MANDON,Mandon,,,,
MARGAERY,Margaery,,,,
MARYA,Marya,,,,
MATTHOS,Matthos,,,,
MELESSA,Melessa,,,,
MELISANDRE,Melisandre,,,,
MERYN_TRANT,Meryn,,,,
MHAEGEN,Mhaegen,,,,
MOUNTAIN,Gregor,,,,
MYRCELLA,Myrcella,,,,
NED,Ned,,,,
OSHA,Osha,,,,
PODRICK,Podrick,,,,
POLLIVER,Polliver,,,,
PORTAN,Portan,,,,
PROTESTER,Protester,,,,
PYATT_PREE,Pyatt Pree,,,,
PYCELLE,Pycelle,,,,
QHORIN,Quorin,,,,
QUAITHE,Quaithe,,,,
QUENT,Quent,,,,
RAKHARO,Rakharo,,,,
RAMSAY,Ramsay,,,,
RANDYLL,Randyll,,,,
LORD_OF_BONES,Lord of Bones,,,,
REGINALD,Reginald,,,,
RENLY,Renly,,,,
RENNICK,Rennick,,,,
RHAEGO,Rhaego,,,,
RHAENYS,Rhaenys,,,,
RICKARD_KARSTARK,Rickard Karstark,,,,
RICKON,Rickon,,,,
ROBB,Robb,,,,
ROBERT,Robert,,,,
ROBIN,Robin,,,,
RODRIK,Rodrik,,,,
ROOSE_BOLTON,Roose,,,,
RORGE,Rorge,,,,
ROS,Ros,,,,
SALLADHOR,Salladhor,,,,
SAM,Sam,,,,
SANSA,Sansa,,,,
SEPTON,Septon,,,,
SHAE,Shae,,,,
SILK_KING,Silk King,,,,
SPICE_KING,Spice King,,,,
STANNIS,Stannis,,,,
SYRIO_FOREL,Syrio,,,,
TALISA,Talisa,,,,
THEON,Theon,,,,
TICKLER,Tickler,,,,
TIMETT,Timett,,,,
TOMMEN,Tommen,,,,
TORRHEN,Torrhen,,,,
TRYSTANE,Trystane,,,,
TYRION,Tyrion,,,,
TYWIN,Tywin,,,,
VARYS,Varys,,,,
VISENYA,Visenya,,,,
WINTERFELL_SHEPHERD,Shepherd,,,,
XARO,Xaro,,,,
YARA,Yara,,,,
YGRITTE,Ygritte,,,,
YOREN,Yoren,,,,
AEGON,Aegon,,,,
AERYS,Aerys,,,,
ANGUY,Anguy,,,,
ARYA,Arya,,,,
LITTLE_SAM,Little Sam,,,,
BALERION,Balerion,,,,
BALON,Balon,,,,
BARRISTAN,Barristan,,,,
BERIC,Beric,,,,
BERT,Bert,,,,
BLACK_WALDER,Black Walder,,,,
BOROS,Boros,,,,
BRAN,Bran,,,,
BRANDON_STARK,Brandon,,,,
BRIENNE,Brienne,,,,
BRONN,Bronn,,,,
BRYNDEN,Brynden,,,,
CATELYN,Catelyn,,,,
CERSEI,Cersei,,,,
CRASTER,Craster,,,,
DAARIO,Daario,,,,
DAENERYS,Daenerys,,,,
DAREON,Dareon,,,,
DAVOS,Davos,,,,
DESMOND,Desmond,,,,
DROGO,Drogo,,,,
EDDISON_TOLLETT,Eddison,,,,
EDMURE,Edmure,,,,
ELDRICK,Eldrick,,,,
FARMER,Farmer,,,,
FREY_SEPTON,Frey Septon,,,,
GENDRY,Gendry,,,,
GILLY,Gilly,,,,
GREIZHEN,Greizhen,,,,
GRENN,Grenn,,,,
GREY_WORM,Grey Worm,,,,
HIGH_SEPTON,High Septon,,,,
HOBB,Hobb,,,,
HODOR,Hodor,,,,
HOSTER,Hoster,,,,
HOT_PIE,Hot Pie,,,,
HOUND,Sandor,,,,
ILYN_PAYNE,Ilyn,,,,
JAIME,Jaime,,,,
JEOR,Jeor,,,,
JOANNA,Joanna,,,,
JOFFREY,Joffrey,,,,
JOJEN,Jojen,,,,
JON,Jon,,,,
JORAH,Jorah,,,,
JOYEUSE,Joyeuse,,,,
KARL_TANNER,Karl,,,,
KRAZNYS_MO_NAKLOZ,Kraznys,,,,
LITTLEFINGER,Petyr,,,,
LOCKE,Locke,,,,
LORAS,Loras,,,,
LORD_OF_BONES,Lord of Bones,,,,
LOTHAR,Lothar,,,,
LYSA,Lysa,,,,
MACE,Mace,,,,
MAESTER_AEMON,Aemon,,,,
MAESTER_LUWIN,Luwin,,,,
MANCE,Mance,,,,
MAREI,Marei,,,,
MARGAERY,Margaery,,,,
MARTYN,Martyn,,,,
MATTHOS,Matthos,,,,
MEERA,Meera,,,,
MELISANDRE,Melisandre,,,,
MERO,Mero,,,,
MERRY,Merry,,,,
MERYN_TRANT,Meryn,,,,
MISSANDEI,Missandei,,,,
MOUNTAIN,Gregor,,,,
MYCAH,Mycah,,,,
MYRANDA,Myranda,,,,
NED,Ned,,,,
OLENNA,Olenna,,,,
OLYVAR,Olyvar,,,,
ORELL,Orell,,,,
OSHA,Osha,,,,
PODRICK,Podrick,,,,
PRENDAHL,Prendahl,,,,
PYCELLE,Pycelle,,,,
PYP,Pyp,,,,
QHORIN_HALFHAND,Qhorin,,,,
QYBURN,Qyburn,,,,
RADZAI_MO_ERAZ,Radzai,,,,
RAMSAY,Ramsay,,,,
RANDYLL,Randyll,,,,
RAST,Rast,,,,
LORD_OF_BONES,Lord of Bones,,,,
RENLY,Renly,,,,
RICKARD_KARSTARK,Rickard Karstark,,,,
RICKON,Rickon,,,,
ROBB,Robb,,,,
ROBERT,Robert,,,,
ROOSE_BOLTON,Roose,,,,
ROS,Ros,,,,
ROSLIN,Roslin,,,,
RYLENE,Rylene,,,,
SALLADHOR,Salladhor,,,,
SAM,Sam,,,,
SANSA,Sansa,,,,
SELWYN,Selwyn,,,,
SELYSE,Selyse,,,,
SHAE,Shae,,,,
SHIREEN,Shireen,,,,
SORCERER,Sorcerer,,,,
STANNIS,Stannis,,,,
STEELSHANKS_WALTON,Steelshanks Walton,,,,
TALISA,Talisa,,,,
TARYN_MANT,Taryn,,,,
THEON,Theon,,,,
THOROS,Thoros,,,,
TORMUND,Tormund,,,,
TORTURER,Torturer,,,,
TYRION,Tyrion,,,,
TYWIN,Tywin,,,,
VARYS,Varys,,,,
VIOLET,Violet,,,,
WALDER,Walder,,,,
WILLEM_LANNISTER,Willem,,,,
YARA,Yara,,,,
YGRITTE,Ygritte,,,,
ADRACK_HUMBLE,Adrack Humble,,,,
AERYS,Aerys,,,,
ALLISER_THORNE,Alliser Thorne,,,,
ANYA_WAYNWOOD,Anya Waynwood,,,,
ARYA,Arya,,,,
AXELL_FLORENT,Axell Florent,,,,
BAELOR,Baelor,,,,
BALON,Balon,,,,
BALON_DWARF,Balon Dwarf,,,,
BARRISTAN,Barristan,,,,
BITER,Biter,,,,
BLACK_JACK,Black Jack,,,,
BOLTON_GUARD,Bolton Guard,,,,
BOROS,Boros,,,,
BRAN,Bran,,,,
BRIENNE,Brienne,,,,
BRONN,Bronn,,,,
CATELYN,Catelyn,,,,
CERSEI,Cersei,,,,
COOPER,Cooper,,,,
CRASTER,Craster,,,,
CRASTERS_BABY,Baby,,,,
DAARIO,Daario,,,,
DAENERYS,Daenerys,,,,
DAVOS,Davos,,,,
EDDISON_TOLLETT,Eddison,,,,
DONGO_THE_GIANT,Dongo the Giant,,,,
DONNEL_HILL,Donnel Hill,,,,
DONNEL_WAYNWOOD,Donnel Waynwood,,,,
DONTOS,Dontos,,,,
DORAN,Doran,,,,
DORNISH_LORD,Dornish Lord,,,,
DROGO,Drogo,,,,
DYING_MAN,Dying Man,,,,
ELDER_MEEREEN_SLAVE,Meereen Statesman,,,,
ELIA,Elia,,,,
ELLARIA,Ellaria,,,,
ENDREW,Endrew,,,,
FALYSE,Falyse,,,,
FARMER_HAMLET,Hamlet Farmer,,,,
FENNESZ,Fennesz,,,,
FIRST_MATE,First Mate,,,,
FOOL,Fool,,,,
GILLY,Gilly,,,,
GOATHERD,Goatherd,,,,
GOATHERDS_SON,Goatherd's Son,,,,
GRENN,Grenn,,,,
GREY_WORM,Grey Worm,,,,
GUYMON,Guymon,,,,
HIGH_SEPTON,High Septon,,,,
HIZDAHR,Hizdahr,,,,
HIZDAHRS_FATHER,Hizdahr's Father,,,,
HODOR,Hodor,,,,
HOSTER,Hoster,,,,
HOT_PIE,Hot Pie,,,,
INNKEEPER,Innkeeper,,,,
INNKEEPERS_DAUGHTER,Innkeeper's Daughter,,,,
JAIME,Jaime,,,,
JANOS,Janos,,,,
JAQEN,Jaqen,,,,
JEOR,Jeor,,,,
JOANNA,Joanna,,,,
JOFFREY,Joffrey,,,,
JOFFREY_DWARF,Joffrey Dwarf,,,,
JOJEN,Jojen,,,,
JON,Jon,,,,
JON_ARRYN,Jon Arryn,,,,
JORAH,Jorah,,,,
KARL_TANNER,Karl,,,,
KEGS,Kegs,,,,
LEAF,Leaf,,,,
LHARA,Lhara,,,,
LITTLE_SAM,Little Sam,,,,
LITTLEFINGER,Petyr,,,,
LOCKE,Locke,,,,
LOLLYS,Lollys,,,,
LOMMY,Lommy,,,,
LORAS,Loras,,,,
LUTHOR,Luthor,,,,
LYSA,Lysa,,,,
MACE,Mace,,,,
MAESTER_AEMON,Aemon,,,,
MAG_THE_MIGHTY,Mag the Mighty,,,,
MANCE,Mance,,,,
MANSERVANT,Manservant,,,,
MAREI,Marei,,,,
MARGAERY,Margaery,,,,
MASTER_MIGHDAL,Master Mighdal,,,,
MEERA,Meera,,,,
MEEREEN_CHAMPION,Meereen Champion,,,,
MEEREEN_SLAVE,Meereen Slave,,,,
MELISANDRE,Melisandre,,,,
MERYN_TRANT,Meryn,,,,
MISSANDEI,Missandei,,,,
MOLES_TOWN_MADAM,Mole's Town Madam,,,,
MOLES_TOWN_WHORE,Mole's Town Whore,,,,
MORAG,Morag,,,,
MORGAN,Morgan,,,,
MORGANS_FRIEND,Morgan's Friend,,,,
MOSSADOR,Mossador,,,,
MOUNTAIN,Gregor,,,,
MULLY,Mully,,,,
MUSICIAN,Musician,,,,
MYRANDA,Myranda,,,,
MYRCELLA,Myrcella,,,,
NED,Ned,,,,
NIGHT_KING,Night King,,,,
OBERYN,Oberyn,,,,
OLENNA,Olenna,,,,
OLLY,Olly,,,,
OLLYS_MOTHER,Olly's Mother,,,,
OLYVAR,Olyvar,,,,
ORSON,Orson,,,,
ORYS,Orys,,,,
ORYS_BROTHER,Orys's Brother,,,,
OTHELL_YARWYCK,Othell,,,,
PODRICK,Podrick,,,,
POLLIVER,Polliver,,,,
PYCELLE,Pycelle,,,,
PYP,Pyp,,,,
QHORIN,Qhorin,,,,
QYBURN,Qyburn,,,,
RALF,Ralf,,,,
RAMSAY,Ramsay,,,,
RANDYLL,Randyll,,,,
RAST,Rast,,,,
RENLY,Renly,,,,
RENLY_DWARF,Renly Dwarf,,,,
RHAEGAR,Rhaegar,,,,
RICKON,Rickon,,,,
ROBB,Robb,,,,
ROBB_DWARF,Robb Dwarf,,,,
ROBERT,Robert,,,,
ROBIN,Robin,,,,
ROOSE_BOLTON,Roose,,,,
RORGE,Rorge,,,,
SALLADHOR,Salladhor,,,,
SALLY,Sally,,,,
SAM,Sam,,,,
HOUND,Sandor,,,,
SANSA,Sansa,,,,
SELWYN,Selwyn,,,,
SELYSE,Selyse,,,,
SHAE,Shae,,,,
SHIREEN,Shireen,,,,
SISSY,Sissy,,,,
STANNIS,Stannis,,,,
STANNIS_DWARF,Stannis Dwarf,,,,
STYR,Styr,,,,
SYRIO_FOREL,Syrio Forel,,,,
TANSY,Tansy,,,,
TERNESIO_TERYS,Ternesio Terys,,,,
THENN_WARG,Thenn Warg,,,,
THEON,Theon,,,,
THREE_EYED_RAVEN,Three Eyed Raven,,,,
TOMMEN,Tommen,,,,
TOMMY,Tommy,,,,
TORMUND,Tormund,,,,
TYCHO,Tycho,,,,
TYRION,Tyrion,,,,
TYWIN,Tywin,,,,
VANCE_CORBRAY,Vance Corbray,,,,
VARYS,Varys,,,,
VIOLA,Viola,,,,
VISERYS,Viserys,,,,
WALDA,Walda,,,,
WAYMAR_ROYCE,Waymar Royce,,,,
WHITE_WALKER,White Walker,,,,
YARA,Yara,,,,
YGRITTE,Ygritte,,,,
YOHN_ROYCE,Yohn Royce,,,,
ZALA,Zala,,,,
AEGON,Aegon,,,,
AERYS,Aerys,,,,
ALLISER_THORNE,Alliser,,,,
AREO,Areo,,,,
ARYA,Arya,,,,
BARRISTAN,Barristan,,,,
BLACK_HAIRED_PROSTITUTE,Strumpet,,,,
BRAN,Bran,,,,
BRAND,Brand,,,,
BRIAN,Brian,,,,
BRIENNE,Brienne,,,,
BRONN,Bronn,,,,
CATELYN,Catelyn,,,,
CERSEI,Cersei,,,,
CERWYN,Cerwyn,,,,
DAARIO,Daario,,,,
DAENERYS,Daenerys,,,,
DAVOS,Davos,,,,
DENYS,Denys,,,,
DERRYK,Derryk,,,,
DORAN,Doran,,,,
DORNISH_RIDER,Dornish Rider,,,,
EDDISON_TOLLETT,Eddison,,,,
ELLARIA,Ellaria,,,,
FALYSE,Falyse,,,,
GILLY,Gilly,,,,
GRENN,Grenn,,,,
GREY_WORM,Grey Worm,,,,
HIGH_SEPTON,High Septon,,,,
HIGH_SPARROW,High Sparrow,,,,
HIZDAHR,Hizdahr,,,,
JAIME,Jaime,,,,
JANOS,Janos,,,,
JAQEN,Jaqen,,,,
JEOR,Jeor,,,,
JOFFREY,Joffrey,,,,
JON,Jon,,,,
JORAH,Jorah,,,,
KARSI,Karsi,,,,
KEVAN,Kevan,,,,
LANCEL,Lancel,,,,
LITTLE_SAM,Little Sam,,,,
LITTLEFINGER,Petyr,,,,
LOBODA,Loboda,,,,
LOLLYS,Lollys,,,,
LORAS,Loras,,,,
LORD_OF_BONES,Lord of Bones,,,,
LORD_WEEBLY,Lord Weebly,,,,
LYANNA,Lynanna,,,,
LYANNA_MORMONT,Lyanna Mormont,,,,
LYSA,Lysa,,,,
MACE,Mace,,,,
MADAME,Madame,,,,
MAESTER_AEMON,Aemon,,,,
MAGGY,Maggy,,,,
MAGNAR,Magnar,,,,
MALKO,Malko,,,,
MANCE,Mance,,,,
MARGAERY,Margaery,,,,
MELARA,Melara,,,,
MELISANDRE,Melisandre,,,,
MERYN_TRANT,Meryn,,,,
MISSANDEI,Missandei,,,,
MOSSADOR,Mossador,,,,
MOUNTAIN,Mountain,,,,
MYRANDA,Myranda,,,,
MYRCELLA,Myrcella,,,,
NED,Ned,,,,
NIGHT_KING,Night King,,,,
NYMERIA,Nymeria,,,,
OBARA,Obara,,,,
OBERYN,Oberyn,,,,
OLENNA,Olenna,,,,
OLLY,Olly,,,,
OLYVAR,Olyvar,,,,
OWNER,Owner,,,,
PODRICK,Podrick,,,,
PYCELLE,Pycelle,,,,
PYP,Pyp,,,,
QUICK,Quick,,,,
QYBURN,Qyburn,,,,
RAMSAY,Ramsay,,,,
RANDYLL,Randyll,,,,
RENLY,Renly,,,,
RHAEGAR,Rhaegar,,,,
RHAENYRA,Rhaenyra,,,,
RICKON,Rickon,,,,
ROBB,Robb,,,,
ROBERT,Robert,,,,
ROBIN,Robin,,,,
ROOSE_BOLTON,Roose,,,,
ROYCE,Royce,,,,
SAM,Sam,,,,
SANSA,Sansa,,,,
SELWYN,Selwyn,,,,
SELYSE,Selyse,,,,
SEPTA_UNELLA,Septa Unella,,,,
SHAE,Shae,,,,
SHIREEN,Shireen,,,,
STANNIS,Stannis,,,,
STEFFON,Steffon,,,,
STRONG,Strong,,,,
TANDA,Tanda,,,,
THEON,Theon,,,,
THIN_MAN,Thin Man,,,,
TOMMEN,Tommen,,,,
TORMUND,Tormund,,,,
TRYSTANE,Trystane,,,,
TYCHO,Tycho,,,,
TYENE,Tyene,,,,
TYRION,Tyrion,,,,
TYWIN,Tywin,,,,
VARYS,Varys,,,,
WAIF,Waif,,,,
WALDA,Walda,,,,
WALDER,Walder,,,,
WOLKAN,Wolkan,,,,
OTHELL_YARWYCK,Othell,,,,
YOHN_ROYCE,Yohn,,,,
AERON,Aeron,,,,
AERYS,Aerys,,,,
ALLISER_THORNE,Alliser,,,,
AREO,Areo,,,,
ARTHUR,Arthur,,,,
ARTHUR_CHILD,Arthur (child),,,,
ARYA,Arya,,,,
BALON,Balon,,,,
BELICHO,Belicho,,,,
BENJEN,Benjen,,,,
BERIC,Beric,,,,
BIANCA,Bianca,,,,
BLACK_WALDER,Black Walder,,,,
BOBONO,Bobono,,,,
BOWEN_MARSH,Bowen,,,,
BRAN,Bran,,,,
BRIENNE,Brienne,,,,
BRONN,Bronn,,,,
BRYNDEN,Brynden,,,,
CAMELLO,Camello,,,,
CATELYN,Catelyn,,,,
CERSEI,Cersei,,,,
CLARENZO,Clarenzo,,,,
DAARIO,Daario,,,,
DAENERYS,Daenerys,,,,
DAVOS,Davos,,,,
DICKON,Dickon,,,,
DIM_DALBA,Dim Dalba,,,,
EDDISON_TOLLETT,Eddison,,,,
DOM,Dom,,,,
DORAN,Doran,,,,
DOSH_KHALEEN_LEADER,Dosh Khaleen Leader,,,,
DROGO,Drogo,,,,
EDMURE,Edmure,,,,
ELLARIA,Ellaria,,,,
EURON,Euron,,,,
FLYNN,Flynn,,,,
GATINS,Gatins,,,,
GILLY,Gilly,,,,
GLOVER,Glover,,,,
GREY_WORM,Grey Worm,,,,
GUARD_CAPTAIN,Guard Captain,,,,
HARALD,Harald,,,,
HIGH_SPARROW,High Sparrow,,,,
HODOR,Hodor,,,,
HOSTER,Hoster,,,,
HOUND,Sandor,,,,
HOWLAND,Howland,,,,
IZEMBARO,Izembaro,,,,
JAIME,Jaime,,,,
JAQEN,Jaqen,,,,
JEOR,Jeor,,,,
JOFFREY,Joffrey,,,,
JON,Jon,,,,
JORAH,Jorah,,,,
KEVAN,Kevan,,,,
KHAL_MORO,Khal Moro,,,,
KINVARA,Kinvara,,,,
KRAZNYS_MO_NAKLOZ,Kraznys,,,,
LADY_CRANE,Lady Crane,,,,
LANCEL,Lancel,,,,
LEAF,Leaf,,,,
LEM,Lem,,,,
LHAZAREEN_WOMAN,Lhazareen Woman,,,,
LITTLE_SAM,Little Sam,,,,
LITTLEFINGER,Petyr,,,,
LORAS,Loras,,,,
LOTHAR,Lothar,,,,
LYANNA,Lyanna,,,,
LYANNA_MORMONT,Lyanna Mormont,,,,
MACE,Mace,,,,
MAESTER_AEMON,Aemon,,,,
MAESTER_CITADEL,Citadel Maester,,,,
MAESTER_DORNE,Dorne Maester,,,,
MAESTER_MORMONT,Mormont Maester,,,,
MAESTER_WOLKAN,Wolkan,,,,
MANCE,Mance,,,,
MANDERLY,Manderly,,,,
MARGAERY,Margaery,,,,
MEERA,Meera,,,,
MELESSA,Melessa,,,,
MELISANDRE,Melisandre,,,,
MINISA,Minisa,,,,
MISSANDEI,Missandei,,,,
MORGAN,Morgan,,,,
MOUNTAIN,Gregor,,,,
MYRANDA,Myranda,,,,
MYRCELLA,Myrcella,,,,
NED,Ned,,,,
NIGHT_KING,Night King,,,,
NYMERIA,Nymeria,,,,
OBARA,Obara,,,,
OBERYN,Oberyn,,,,
OLD_NAN,Old Nan,,,,
OLENNA,Olenna,,,,
OLLY,Olly,,,,
OSHA,Osha,,,,
OTHELL_YARWYCK,Othell,,,,
PODRICK,Podrick,,,,
PYCELLE,Pycelle,,,,
QYBURN,Qyburn,,,,
RAMSAY,Ramsay,,,,
RANDYLL,Randyll,,,,
RAY,Ray,,,,
RAZDAL,Razdal,,,,
RED_PRIEST,Red Priest,,,,
RICKARD_KARSTARK,Rickard Karstark,,,,
RICKARD_STARK,Rickard Stark,,,,
RICKON,Rickon,,,,
ROBB,Robb,,,,
ROBERT,Robert,,,,
ROBETT,Robett,,,,
ROBIN,Robin,,,,
RODRIK,Rodrik,,,,
ROOSE_BOLTON,Roose,,,,
SAM,Sam,,,,
SANSA,Sansa,,,,
SEPTA_UNELLA,Septa Unella,,,,
SHIREEN,Shireen,,,,
SMALLJON,Smalljon,,,,
SON_OF_EDMURE,Edmure's Son,,,,
SON_OFWALDA,Roose's Son,,,,
STANNIS,Stannis,,,,
TALLA,Talla,,,,
THEON,Theon,,,,
THOROS,Thoros,,,,
THREE_EYED_RAVEN,Three Eyed Raven,,,,
TOMMEN,Tommen,,,,
TORMUND,Tormund,,,,
TRYSTANE,Trystane,,,,
TYENE,Tyene,,,,
TYRION,Tyrion,,,,
TYWIN,Tywin,,,,
VALA,Vala,,,,
VARYS,Varys,,,,
WAIF,Waif,,,,
WALDA,Walda,,,,
WALDER,Walder,,,,
WUN_WUN,Wun Wun,,,,
YARA,Yara,,,,
YEZZAN,Yezzan,,,,
YOHN_ROYCE,Yohn,,,,
AEGON,Aegon,,,,
AERYS,Aerys,,,,
ALYS,Alys,,,,
ARYA,Arya,,,,
BALERION,Balerion,,,,
BENJEN,Benjen,,,,
BERIC,Beric,,,,
BRAN,Bran,,,,
BRIENNE,Brienne,,,,
BRONN,Bronn,,,,
CATELYN,Catelyn,,,,
CERSEI,Cersei,,,,
DAENERYS,Daenerys,,,,
DAVOS,Davos,,,,
DICKON,Dickon,,,,
EDDISON_TOLLETT,Eddison,,,,
DROGO,Drogo,,,,
ELLARIA,Ellaria,,,,
EURON,Euron,,,,
GENDRY,Gendry,,,,
GILLY,Gilly,,,,
GREY_WORM,Grey Worm,,,,
HARRAG,Harrag,,,,
HIGH_SEPTON,High Septon (Aerys),,,,
HOT_PIE,Hot Pie,,,,
HOUND,Sandor,,,,
HOWLAND,Howland,,,,
JAIME,Jaime,,,,
JEOR,Jeor,,,,
JOANNA,Joanna,,,,
JOFFREY,Joffrey,,,,
JON,Jon,,,,
JON_ARRYN,Jon Arryn,,,,
JORAH,Jorah,,,,
LITTLE_SAM,Little Sam,,,,
LITTLEFINGER,Petyr,,,,
LYANNA,Lyanna,,,,
LYANNA_MORMONT,Lyanna Mormont,,,,
LYSA,Lysa,,,,
MARGAERY,Margaery,,,,
MARWYN,Marwin,,,,
MEERA,Meera,,,,
